ID,EventName,EventDate,StartDate,EndDate,Location,HybridNotes,EventLink,Year
108,Hack the North,Jan 15th - 17th,2021-01-15,2021-01-15,2021-01-17,"Everywhere, Worldwide",Digital Only,https://hackthenorth.com/,2021
109,Hack the Northeast Beyond,Jan 15th - 17th,2021-01-15,2021-01-15,2021-01-17,"Everywhere, Worldwide",Digital Only,https://hackthenortheast.com,2021
110,SB Hacks,Jan 15th - 17th,2021-01-15,2021-01-15,2021-01-17,"Everywhere, Worldwide",Digital Only,https://sbhacks.com/,2021
111,HackDavis,Jan 16th - 18th,2021-01-16,2021-01-16,2021-01-18,"Everywhere, Worldwide",Digital Only,https://hackdavis.io/,2021
112,HackED 2021,Jan 16th - 17th,2021-01-16,2021-01-16,2021-01-17,"Everywhere, Worldwide",Digital Only,https://hacked.compeclub.com/,2021
113,Rose Hack,Jan 16th - 17th,2021-01-16,2021-01-16,2021-01-17,"Everywhere, Worldwide",Digital Only,https://rosehack.com/,2021
114,BoilerMake,Jan 22nd - 24th,2021-01-22,2021-01-22,2021-01-24,"Everywhere, Worldwide",Digital Only,https://boilermake.org/,2021
115,Hack Your Portfolio,Jan 22nd - 24th,2021-01-22,2021-01-22,2021-01-24,"Everywhere, Worldwide",Digital Only,https://organize.mlh.io/participants/events/6291-hack-your-portfolio,2021
116,QHacks,Jan 22nd - 24th,2021-01-22,2021-01-22,2021-01-24,"Everywhere, Worldwide",Digital Only,https://qhacks.io/,2021
117,TechTogether Seattle,Jan 22nd - 24th,2021-01-22,2021-01-22,2021-01-24,"Everywhere, Worldwide",Digital Only,https://seattle.techtogether.io/,2021
118,CUNY Hackathon,Jan 23rd - 24th,2021-01-23,2021-01-23,2021-01-24,"Everywhere, Worldwide",Digital Only,https://cunyhackathon21.web.app/,2021
119,[email protected],Jan 23rd - 24th,2021-01-23,2021-01-23,2021-01-24,"Everywhere, Worldwide",Digital Only,https://2021.hackatbrown.org/,2021
120,Hex Cambridge 2021,Jan 23rd - 24th,2021-01-23,2021-01-23,2021-01-24,"Everywhere, Worldwide",Digital Only,https://hackcambridge.com/,2021
121,QWER Hacks,Jan 23rd - 24th,2021-01-23,2021-01-23,2021-01-24,"Everywhere, Worldwide",Digital Only,https://www.qwerhacks.com/,2021
122,cuHacking,Jan 29th - 31st,2021-01-29,2021-01-29,2021-01-31,"Everywhere, Worldwide",Digital Only,http://2021.cuhacking.com/,2021
123,Fashion Tech Hackathon,Jan 29th - 31st,2021-01-29,2021-01-29,2021-01-31,"Everywhere, Worldwide",Digital Only,https://www.kent.edu/fashion/fashiontech-hackathon,2021
124,Hack APAC,Jan 29th - 31st,2021-01-29,2021-01-29,2021-01-31,"Everywhere, Worldwide",Digital Only,https://organize.mlh.io/participants/events/6396-hack-apac,2021
125,Hoya Hacks,Jan 29th - 31st,2021-01-29,2021-01-29,2021-01-31,"Everywhere, Worldwide",Digital Only,http://hoyahacks.georgetown.domains/,2021
126,McHacks,Jan 29th - 31st,2021-01-29,2021-01-29,2021-01-31,"Everywhere, Worldwide",Digital Only,https://mchacks.ca/,2021
127,SwampHacks,Jan 29th - 31st,2021-01-29,2021-01-29,2021-01-31,"Everywhere, Worldwide",Digital Only,https://2021.swamphacks.com/,2021
128,CUhackit,Jan 30th - 31st,2021-01-30,2021-01-30,2021-01-31,"Everywhere, Worldwide",Digital Only,https://cuhack.it/,2021
129,HackViolet,Jan 30th - 31st,2021-01-30,2021-01-30,2021-01-31,"Everywhere, Worldwide",Digital Only,https://www.hackviolet.com/,2021
130,TAMUhack,Jan 30th - 31st,2021-01-30,2021-01-30,2021-01-31,"Everywhere, Worldwide",Digital Only,https://tamuhack.com/th,2021
131,Black Wings Hacks,Feb 5th - 7th,2021-02-05,2021-02-05,2021-02-07,"Everywhere, Worldwide",Digital Only,https://rewritingthecode.org/black-wings-hacks/,2021
132,Hackatown,Feb 5th - 7th,2021-02-05,2021-02-05,2021-02-07,"Everywhere, Worldwide",Digital Only,https://hackatown.io/#/en,2021
133,Hacklytics,Feb 5th - 7th,2021-02-05,2021-02-05,2021-02-07,"Everywhere, Online",Digital Only,https://hacklytics.io/,2021
134,Hackville 2021,Feb 5th - 7th,2021-02-05,2021-02-05,2021-02-07,"Everywhere, Worldwide",Digital Only,https://hackville.io,2021
135,Impractical Hackers,Feb 5th - 7th,2021-02-05,2021-02-05,2021-02-07,"Everywhere, Worldwide",Digital Only,https://organize.mlh.io/participants/events/6397-impractical-hackers,2021
136,MacHacks,Feb 5th - 7th,2021-02-05,2021-02-05,2021-02-07,"Everywhere, Worldwide",Digital Only,https://machacks.ca,2021
137,UGAHacks,Feb 5th - 7th,2021-02-05,2021-02-05,2021-02-07,"Everywhere, Worldwide",Digital Only,https://6.ugahacks.com/,2021
138,uOttaHack,Feb 5th - 7th,2021-02-05,2021-02-05,2021-02-07,"Everywhere, Worldwide",Digital Only,https://2021.uottahack.ca/,2021
139,Hack BU 2021,Feb 6th - 7th,2021-02-06,2021-02-06,2021-02-07,"Everywhere, Worldwide",Digital Only,https://2021s.hackbu.org/,2021
140,Hacklahoma,Feb 6th - 7th,2021-02-06,2021-02-06,2021-02-07,"Everywhere, Worldwide",Digital Only,https://2021.hacklahoma.org,2021
141,NSBE Hacks U of T,Feb 6th - 7th,2021-02-06,2021-02-06,2021-02-07,"Everywhere, Worldwide",Digital Only,https://www.nsbehacksuoft.ca/,2021
142,RoyalHackaway,Feb 6th - 7th,2021-02-06,2021-02-06,2021-02-07,"Everywhere, Worldwide",Digital Only,https://royalhackaway.com/,2021
143,Hackthrob,Feb 12th - 14th,2021-02-12,2021-02-12,2021-02-14,"Everywhere, Worldwide",Digital Only,https://organize.mlh.io/participants/events/6413-hackthrob,2021
144,Calgary Hacks,Feb 13th - 14th,2021-02-13,2021-02-13,2021-02-14,"Everywhere, Worldwide",Digital Only,http://calgaryhacks.ca/,2021
145,GunnHacks 7.0,Feb 13th - 14th,2021-02-13,2021-02-13,2021-02-14,"Everywhere, Worldwide",Digital Only,https://www.gunnhacks.com/,2021
146,Highfield Hack,Feb 13th - 14th,2021-02-13,2021-02-13,2021-02-14,"Everywhere, Worldwide",Digital Only,https://highfieldhack.co.uk/,2021
147,MakeHarvard,Feb 13th - 14th,2021-02-13,2021-02-13,2021-02-14,"Everywhere, Worldwide",Digital Only,https://makeharvard.io,2021
148,yuHacks,Feb 13th - 14th,2021-02-13,2021-02-13,2021-02-14,"Everywhere, Worldwide",Digital Only,https://yuhacks.info,2021
149,Hack And Wellness,Feb 19th - 21st,2021-02-19,2021-02-19,2021-02-21,"Everywhere, Worldwide",Digital Only,https://organize.mlh.io/participants/events/6456-hack-and-wellness,2021
150,HackSC,Feb 19th - 21st,2021-02-19,2021-02-19,2021-02-21,"Everywhere, Worldwide",Digital Only,https://hacksc.com,2021
151,KU HackFest 2021,Feb 19th - 21st,2021-02-19,2021-02-19,2021-02-21,"Everywhere, Worldwide",Digital Only,https://www.kuhackfest.com,2021
152,Pearl Hacks,Feb 19th - 21st,2021-02-19,2021-02-19,2021-02-21,"Everywhere, Worldwide",Digital Only,https://pearlhacks.com,2021
153,SacHacks,Feb 19th - 21st,2021-02-19,2021-02-19,2021-02-21,"Everywhere, Worldwide",Digital Only,https://sachacks.io/,2021
154,SD Hacks,Feb 19th - 21st,2021-02-19,2021-02-19,2021-02-21,"Everywhere, Worldwide",Digital Only,http://www.sdhacks.io/,2021
155,UofTHacks,Feb 19th - 21st,2021-02-19,2021-02-19,2021-02-21,"Everywhere, Worldwide",Digital Only,https://uofthacks.com,2021
156,AstonHack,Feb 20th - 21st,2021-02-20,2021-02-20,2021-02-21,"Everywhere, Worldwide",Digital Only,https://astonhack.co.uk/,2021
157,BrickHack 7,Feb 20th - 21st,2021-02-20,2021-02-20,2021-02-21,"Everywhere, Worldwide",Digital Only,https://brickhack.io/,2021
158,RevolutionUC,Feb 20th - 21st,2021-02-20,2021-02-20,2021-02-21,"Everywhere, Worldwide",Digital Only,https://revolutionuc.com/,2021
159,StormHacks,Feb 20th - 21st,2021-02-20,2021-02-20,2021-02-21,"Everywhere, Worldwide",Digital Only,https://stormhacks.com/,2021
160,[email protected] 2021,Feb 26th - 28th,2021-02-26,2021-02-26,2021-02-28,"Everywhere, Worldwide",Digital Only,https://www.cewit.org/programs/events/hack.php,2021
161,Hackers of the Galaxy,Feb 26th - 28th,2021-02-26,2021-02-26,2021-02-28,"Everywhere, Worldwide",Digital Only,https://organize.mlh.io/participants/events/6487-hackers-of-the-galaxy,2021
162,CuseHacks,Feb 27th - 28th,2021-02-27,2021-02-27,2021-02-28,"Everywhere, Worldwide",Digital Only,https://innovateorange.github.io/cusehacks/,2021
163,HackLBS,Feb 27th - 28th,2021-02-27,2021-02-27,2021-02-28,"Everywhere, Worldwide",Digital Only,https://hacklbs.org/,2021
164,HackSurrey Virtual,Feb 27th - 28th,2021-02-27,2021-02-27,2021-02-28,"Everywhere, Worldwide",Digital Only,https://hacksurrey.github.io/virtual/,2021
165,HackTCNJ,Feb 27th - 28th,2021-02-27,2021-02-27,2021-02-28,"Everywhere, Worldwide",Digital Only,https://www.hacktcnj.com,2021
166,HackUTD,Feb 27th - 28th,2021-02-27,2021-02-27,2021-02-28,"Everywhere, Worldwide",Digital Only,https://2021.hackutd.co,2021
167,HackVerse,Feb 27th - 28th,2021-02-27,2021-02-27,2021-02-28,"Everywhere, Worldwide",Digital Only,https://hackverse.nitk.ac.in/,2021
168,MariHacks,Feb 27th - 28th,2021-02-27,2021-02-27,2021-02-28,"Everywhere, Worldwide",Digital Only,https://marihacks.com,2021
169,VTHacks VIII,Feb 27th - 28th,2021-02-27,2021-02-27,2021-02-28,"Everywhere, Worldwide",Digital Only,https://vthacks.com,2021
170,WiCHacks,Feb 27th - 28th,2021-02-27,2021-02-27,2021-02-28,"Everywhere, Worldwide",Digital Only,https://www.wichacks.io/,2021
171,CorgiHacks,Mar 5th - 7th,2021-03-05,2021-03-05,2021-03-07,"Everywhere, Worldwide",Digital Only,https://organize.mlh.io/participants/events/6531-corgihacks,2021
172,DeltaHacks,Mar 5th - 7th,2021-03-05,2021-03-05,2021-03-07,"Everywhere, Worldwide",Digital Only,https://www.deltahacks.com,2021
173,SF Hacks,Mar 5th - 7th,2021-03-05,2021-03-05,2021-03-07,"Everywhere, Worldwide",Digital Only,https://sfhacks.io/,2021
